,tickets_id,drawing_id,line_id,bet_type,numbers,numbers_list
71,573b1b34e4b058e593a2a9ea,polishMiniLotto_3892,4.0,NORMAL,"11,16,30,32,42","['11', '16', '30', '32', '42']"
72,573b1b34e4b058e593a2a9ea,polishMiniLotto_3892,5.0,NORMAL,"1,11,23,27,35","['1', '11', '23', '27', '35']"
73,573b1b34e4b058e593a2a9ea,polishMiniLotto_3892,6.0,NORMAL,"1,12,28,30,31","['1', '12', '28', '30', '31']"
74,5748a1e1e4b026210ac29c72,polishMiniLotto_3892,1.0,NORMAL,"10,20,22,31,42","['10', '20', '22', '31', '42']"
75,577fc52ce4b07b3ec7614670,polishMiniLotto_3892,1.0,NORMAL,"12,16,21,27,41","['12', '16', '21', '27', '41']"
76,579dd532e4b0c507dfc89a23,polishMiniLotto_3892,1.0,NORMAL,"3,17,23,27,30","['3', '17', '23', '27', '30']"
77,579dd532e4b0c507dfc89a23,polishMiniLotto_3892,2.0,NORMAL,"1,21,30,41,42","['1', '21', '30', '41', '42']"
78,579dd532e4b0c507dfc89a23,polishMiniLotto_3892,3.0,NORMAL,"6,8,10,25,31","['6', '8', '10', '25', '31']"
79,579dd532e4b0c507dfc89a23,polishMiniLotto_3892,4.0,NORMAL,"10,18,29,33,34","['10', '18', '29', '33', '34']"
80,579dd532e4b0c507dfc89a23,polishMiniLotto_3892,5.0,NORMAL,"4,12,31,36,40","['4', '12', '31', '36', '40']"
81,57aedfa1e4b0c346126b4e72,polishMiniLotto_3892,1.0,NORMAL,"5,11,17,28,36","['5', '11', '17', '28', '36']"
82,57aedfa1e4b0c346126b4e72,polishMiniLotto_3892,2.0,NORMAL,"4,11,25,34,41","['4', '11', '25', '34', '41']"
83,57aedfa1e4b0c346126b4e72,polishMiniLotto_3892,3.0,NORMAL,"3,7,18,22,29","['3', '7', '18', '22', '29']"
84,57aedfa1e4b0c346126b4e72,polishMiniLotto_3892,4.0,NORMAL,"2,8,27,31,35","['2', '8', '27', '31', '35']"
85,57bd62fde4b01eeecb07a498,polishMiniLotto_3892,1.0,NORMAL,"7,26,30,32,38","['7', '26', '30', '32', '38']"
86,57bd62fde4b01eeecb07a498,polishMiniLotto_3892,2.0,NORMAL,"1,15,17,20,34","['1', '15', '17', '20', '34']"
87,57c294afe4b06c7e0b754563,polishMiniLotto_3892,1.0,NORMAL,"5,12,17,22,31","['5', '12', '17', '22', '31']"
88,57c2a689e4b0441f5e61c7ba,polishMiniLotto_3892,1.0,NORMAL,"3,8,18,24,30","['3', '8', '18', '24', '30']"
89,57c2a689e4b0441f5e61c7ba,polishMiniLotto_3892,2.0,NORMAL,"1,5,6,8,42","['1', '5', '6', '8', '42']"
90,57c2a689e4b0441f5e61c7ba,polishMiniLotto_3892,3.0,NORMAL,"7,14,25,33,42","['7', '14', '25', '33', '42']"
91,57c2a689e4b0441f5e61c7ba,polishMiniLotto_3892,4.0,NORMAL,"3,9,14,21,35","['3', '9', '14', '21', '35']"
92,57c94b3ce4b08f65dcc64670,polishMiniLotto_3892,1.0,NORMAL,"14,15,27,32,38","['14', '15', '27', '32', '38']"
93,57dafd5be4b08356b1622f9b,polishMiniLotto_3892,1.0,NORMAL,"8,9,17,29,36","['8', '9', '17', '29', '36']"
94,57ee96d0e4b03663f2206908,polishMiniLotto_3892,1.0,NORMAL,"10,26,30,38,40","['10', '26', '30', '38', '40']"
95,57ee96d0e4b03663f2206908,polishMiniLotto_3892,2.0,NORMAL,"3,8,30,34,39","['3', '8', '30', '34', '39']"
96,57f17840e4b0b05f168184c4,polishMiniLotto_3892,1.0,NORMAL,"3,6,15,20,27","['3', '6', '15', '20', '27']"
97,57f17840e4b0b05f168184c4,polishMiniLotto_3892,2.0,NORMAL,"9,23,31,36,41","['9', '23', '31', '36', '41']"
98,57f17840e4b0b05f168184c4,polishMiniLotto_3892,3.0,NORMAL,"7,26,29,33,39","['7', '26', '29', '33', '39']"
99,58048486e4b0bd8892c42453,polishMiniLotto_3892,1.0,NORMAL,"2,3,23,30,32","['2', '3', '23', '30', '32']"
100,580c9977e4b01eea3b812ba3,polishMiniLotto_3892,1.0,NORMAL,"3,11,13,24,29","['3', '11', '13', '24', '29']"
101,5812611de4b06ad8682657b0,polishMiniLotto_3892,1.0,NORMAL,"3,7,23,30,38","['3', '7', '23', '30', '38']"
102,58144e0ce4b09e9f2f1e5574,polishMiniLotto_3892,1.0,NORMAL,"2,3,6,19,23","['2', '3', '6', '19', '23']"
103,58179012e4b0db7ff9e22d80,polishMiniLotto_3892,1.0,NORMAL,"5,11,16,24,30","['5', '11', '16', '24', '30']"
